Prefecture,Capital,Latitude,Longitude,Population,Pop Last udate
?????,??????????????,40.845,25.875,147530,2011
??????,????????,41.117,25.402,111193,2018
?????,?????,41.137,24.889,111885,2018
??????,??????,40.937,24.412,124917,2011
?????,?????,41.15,24.146,96760,2018
??????,??????,41.086,23.548,176430,2011
???????????,???????????,40.64,22.944,1110000,2011
?????????,?????????,40.381,23.442,110587,2018
?????,??????,40.801,22.044,137872,2018
??????,??????,40.519,22.205,141403,2018
??????,????????,40.27,22.512,131650,2018
???????,???????,40.784,21.413,51414,2011
????????,????????,40.519,21.268,50322,2011
??????,??????,40.3,21.788,150196,2011
???????,???????,40.083,21.427,31757,2011
????????,????????,39.665,20.853,167901,2011
?????????,???????????,39.506,20.265,45133,2018
???????,???????,38.959,20.751,57491,2011
????,????,39.158,20.987,67877,2011
??????,??????,39.639,22.419,284325,2011
???????,???????,39.555,21.767,131085,2011
????????,????????,39.364,21.921,113544,2011
????????,?????,39.366,22.95,208500,2011
?????????,?????????,38.914,21.793,19050,2018
????????,?????,38.899,22.433,159798,2018
???????????????,?????????,38.368,21.43,202288,2018
??????,???????,38.527,22.378,42454,2018
???????,????????,38.438,22.875,121493,2018
??????,???????,38.468,23.622,210815,2011
??????,?????,37.983,23.727,3756000,2018
?????,?????,38.246,21.734,301145,2018
????????,????????,37.938,22.932,145082,2011
????????,???????,37.567,22.801,97044,2011
???????,???????,37.51,22.372,86820,2011
?????,??????,37.671,21.443,159300,2011
????????,????????,37.036,22.114,159954,2011
???????,??????,37.074,22.43,249184,2018
??????,????????,39.106,26.557,108575,2018
????,????,38.371,26.136,51320,2011
?????,?????,37.754,26.977,46222,2018
????????,?????????,37.441,24.94,112615,2011
??????????,?????,36.434,28.217,190071,2011
???????,???????,39.624,19.921,104371,2011
???????,???????,38.833,20.706,23897,2018
??????????,?????????,38.173,20.49,35801,2011
????????,????????,37.787,20.899,40759,2011
?????,?????,35.513,24.018,156585,2011
????????,????????,35.338,25.144,305490,2011
???????,???????,35.365,24.492,85609,2011
??????,????? ????????,35.19,25.716,74210,2018
